gid	n_mu	mid	sids	n_mu_p	fam	fam_size	fam_idx	fam_idx_size	tf	gid_W22	map_type	ttype	impact	eff
Zm00001d001895	5	mu1019935|mu1019935|mu1035556|mu1065450|mu1075037	UFMu-00794,UFMu-03311|UFMu-05950|UFMu-03311|UFMu-00794,UFMu-05950|UFMu-05950	>=3	NA	NA	NA	NA	FALSE	Zm00004b005974	One-to-One	mRNA	moderate	missense_variant
Zm00001d001898	1	mu1021836	UFMu-01243	1	NA	NA	NA	NA	FALSE	Zm00004b005978	One-to-One	mRNA	modifier	intron_variant
Zm00001d001899	2	mu1018413|mu1055927	UFMu-00767|UFMu-07376	2	NA	NA	NA	NA	FALSE	Zm00004b005979	One-to-One	mRNA	low	synonymous_variant
Zm00001d001900	3	mu1040891|mu1065449|mu1085979	UFMu-04383|UFMu-01147|UFMu-10927	>=3	NA	NA	NA	NA	FALSE	Zm00004b005980	One-to-One	mRNA	high	frameshift_variant
Zm00001d001901	6	mu1011445|mu1011445|mu1047410|mu1047411|mu1055928|mu1083196	UFMu-03291|UFMu-05008,UFMu-06514,UFMu-06545|UFMu-06488|UFMu-06134|UFMu-07366|UFMu-10402	>=3	NA	NA	NA	NA	FALSE	Zm00004b005982	One-to-One	mRNA	moderate	missense_variant
Zm00001d001903	2	mu1055929|mu1094556	UFMu-07526|UFMu-11366	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d001906	2	mu1029507|mu1066646	UFMu-02907|UFMu-08568	2	NA	NA	NA	NA	FALSE	Zm00004b005984	One-to-One	mRNA	high	stop_gained
Zm00001d001908	2	mu1055934|mu1069281	UFMu-07559|UFMu-08584	2	NA	NA	NA	NA	FALSE	Zm00004b005985	One-to-One	mRNA	moderate	missense_variant
Zm00001d001909	4	mu1031913|mu1034172|mu1055937|mu1090236	UFMu-02835,UFMu-04304|UFMu-03227|UFMu-07514|UFMu-11204	>=3	NA	NA	NA	NA	FALSE	Zm00004b005986	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d001910	1	mu1033128	UFMu-02612	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	high	frameshift_variant
Zm00001d001914	1	mu1087742	UFMu-11021	1	NA	NA	NA	NA	FALSE	Zm00004b005989	One-to-One	mRNA	moderate	missense_variant
Zm00001d001917	3	mu1009496|mu1018606|mu1051447	UFMu-00381|UFMu-00749|UFMu-06522,UFMu-08183	>=3	NA	NA	NA	NA	FALSE	Zm00004b005995	One-to-Many	mRNA	non-syntenic	NA
Zm00001d001923	5	mu1009496|mu1014142|mu1014142|mu1014143|mu1018606	UFMu-00381|UFMu-01217|UFMu-07712|UFMu-01040|UFMu-00749	>=3	NA	NA	NA	NA	FALSE	Zm00004b005994,Zm00004b005995,Zm00004b005996,Zm00004b005997	Many-to-Many,Many-to-One	mRNA	high	frameshift_variant
Zm00001d001928	7	mu1003547|mu1007460|mu1007460|mu1018803|mu1052461|mu1055946|mu1087745	UFMu-00538,UFMu-02587,UFMu-03080,UFMu-06594|UFMu-00376,UFMu-04188,UFMu-05723,UFMu-06546|UFMu-11313|UFMu-00583|UFMu-06540,UFMu-07189|UFMu-07233|UFMu-10649	>=3	NA	NA	NA	NA	FALSE	Zm00004b006001	One-to-One	mRNA	moderate	missense_variant
Zm00001d001931	1	mu1090249	UFMu-12009	1	NA	NA	NA	NA	FALSE	Zm00004b006003	One-to-One	mRNA	no_change	NA
Zm00001d001932	1	mu1090251	UFMu-12120	1	NA	NA	NA	NA	FALSE	Zm00004b006004	One-to-One	mRNA	moderate	missense_variant
Zm00001d001933	3	mu1031509|mu1076720|mu1090252	UFMu-02705|UFMu-09235|UFMu-12991	>=3	C3H	55	1	1/55	TRUE	Zm00004b006005	One-to-One	mRNA	modifier	3_prime_UTR_variant
Zm00001d001937	3	mu1024032|mu1059294|mu1059295	UFMu-00867,UFMu-02263,UFMu-11019|UFMu-07957|UFMu-07773	>=3	NA	NA	NA	NA	FALSE	Zm00004b006011	One-to-One	mRNA	moderate	missense_variant
Zm00001d001939	3	mu1007473|mu1036021|mu1047431	UFMu-00444|UFMu-03311|UFMu-06433	>=3	NA	NA	NA	NA	FALSE	Zm00004b006013	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d001940	4	mu1022476|mu1052465|mu1066664|mu1087746	UFMu-02444|UFMu-07030|UFMu-08557|UFMu-10869	>=3	NA	NA	NA	NA	FALSE	Zm00004b006014	One-to-One	mRNA	moderate	missense_variant
Zm00001d001941	1	mu1084693	UFMu-10004	1	NA	NA	NA	NA	FALSE	Zm00004b006015	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d001943	3	mu1059297|mu1066665|mu1080895	UFMu-07765|UFMu-08665|UFMu-09464	>=3	NA	NA	NA	NA	FALSE	Zm00004b006016	One-to-Many	mRNA	moderate	missense_variant
Zm00001d001944	1	mu1072617	UFMu-03510	1	NA	NA	NA	NA	FALSE	Zm00004b006016	One-to-Many	mRNA	non-syntenic	NA
Zm00001d001945	3	mu1010733|mu1021266|mu1052469	UFMu-04012|UFMu-01723|UFMu-06729	>=3	ARF	36	3	3/36	TRUE	Zm00004b006017	One-to-One	mRNA	high	frameshift_variant
Zm00001d001946	1	mu1052470	UFMu-06719	1	NA	NA	NA	NA	FALSE	Zm00004b006018	One-to-One	mRNA	moderate	missense_variant
Zm00001d001947	3	mu1009324|mu1009324|mu1070973	UFMu-00178,UFMu-13493|UFMu-04903|UFMu-02602	>=3	NA	NA	NA	NA	FALSE	Zm00004b006020	One-to-One	mRNA	moderate	missense_variant
Zm00001d001949	1	mu1055950	UFMu-07146	1	NA	NA	NA	NA	FALSE	Zm00004b006022	One-to-One	mRNA	moderate	missense_variant
Zm00001d001952	3	mu1014155|mu1065444|mu1076730	UFMu-02289|UFMu-00649|UFMu-09371	>=3	C3H	55	2	2/55	TRUE	Zm00004b006023	One-to-One	mRNA	high	exon_loss_variant
Zm00001d001953	3	mu1032523|mu1040904|mu1080266	UFMu-02873|UFMu-04570|UFMu-02873	>=3	NA	NA	NA	NA	FALSE	Zm00004b006024	One-to-One	mRNA	moderate	missense_variant
Zm00001d001959	1	mu1003985	UFMu-00316	1	NA	NA	NA	NA	FALSE	Zm00004b006025	One-to-One	mRNA	moderate	missense_variant
Zm00001d001962	1	mu1043516	UFMu-05371	1	NA	NA	NA	NA	FALSE	Zm00004b006029	One-to-One	mRNA	moderate	missense_variant
Zm00001d001964	2	mu1038469|mu1090276	UFMu-03512|UFMu-13454	2	NA	NA	NA	NA	FALSE	Zm00004b006031	One-to-Many	mRNA	moderate	disruptive_inframe_insertion
Zm00001d001966	8	mu1009737|mu1043514|mu1043514|mu1070974|mu1076734|mu1076735|mu1080901|mu1084695	UFMu-00416|UFMu-05010|UFMu-06530|UFMu-03017|UFMu-09270|UFMu-09187|UFMu-09441|UFMu-10404	>=3	NA	NA	NA	NA	FALSE	Zm00004b006032	One-to-One	mRNA	low	splice_region_variant
Zm00001d001967	4	mu1055957|mu1059300|mu1059301|mu1076736	UFMu-07333|UFMu-07956|UFMu-07956|UFMu-09173,UFMu-11120	>=3	NA	NA	NA	NA	FALSE	Zm00004b006033	One-to-One	mRNA	moderate	missense_variant
Zm00001d001968	4	mu1008729|mu1030088|mu1069287|mu1069287	UFMu-00067|UFMu-02921|UFMu-08754|UFMu-13966	>=3	NA	NA	NA	NA	FALSE	Zm00004b006034	One-to-One	mRNA	high	frameshift_variant
Zm00001d001972	4	mu1018917|mu1035933|mu1050544|mu1072618	UFMu-00901|UFMu-03509|UFMu-06501|UFMu-03509	>=3	NA	NA	NA	NA	FALSE	Zm00004b006036	One-to-One	mRNA	low	splice_region_variant
Zm00001d001973	3	mu1051439|mu1061731|mu1079402	UFMu-06195,UFMu-06603|UFMu-11320|UFMu-08873	>=3	NA	NA	NA	NA	FALSE	Zm00004b006037	One-to-Many	mRNA	moderate	disruptive_inframe_insertion
Zm00001d001974	3	mu1014162|mu1059304|mu1094079	UFMu-00828,UFMu-01479,UFMu-01480,UFMu-04045,UFMu-06195,UFMu-09492,UFMu-11304|UFMu-07864|UFMu-11704,UFMu-12198,UFMu-12606,UFMu-13946	>=3	NA	NA	NA	NA	FALSE	Zm00004b006037,Zm00004b006038	Many-to-Many,Many-to-One	mRNA	modifier	intron_variant
Zm00001d001976	1	mu1080904	UFMu-09528	1	NA	NA	NA	NA	FALSE	Zm00004b006039	One-to-One	mRNA	moderate	missense_variant
Zm00001d001978	2	mu1031788|mu1040911	UFMu-02476|UFMu-04728,UFMu-05600	2	NA	NA	NA	NA	FALSE	Zm00004b006041,Zm00004b006042	Many-to-One	mRNA	moderate	missense_variant
Zm00001d001979	1	mu1043508	UFMu-05061	1	NA	NA	NA	NA	FALSE	Zm00004b006043	One-to-One	mRNA	moderate	missense_variant
Zm00001d001980	4	mu1014167|mu1052486|mu1052487|mu1090286	UFMu-01552|UFMu-06773|UFMu-06773|UFMu-12977	>=3	NA	NA	NA	NA	FALSE	Zm00004b006044	One-to-One	mRNA	high	splice_donor_variant
Zm00001d001983	2	mu1035139|mu1047450	UFMu-03505|UFMu-06246	2	NA	NA	NA	NA	FALSE	Zm00004b006046	One-to-One	mRNA	high	splice_acceptor_variant
Zm00001d001987	1	mu1076743	UFMu-09211	1	NA	NA	NA	NA	FALSE	Zm00004b006049	One-to-One	mRNA	moderate	missense_variant
Zm00001d001988	2	mu1059309|mu1059309	UFMu-08182|UFMu-09621	2	NA	NA	NA	NA	FALSE	Zm00004b006050	One-to-One	mRNA	modifier	intron_variant
Zm00001d001990	1	mu1090294	UFMu-12959	1	NA	NA	NA	NA	FALSE	Zm00004b006052	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d001993	1	mu1038035	UFMu-04198	1	NA	NA	NA	NA	FALSE	Zm00004b006053	One-to-One	mRNA	moderate	missense_variant
Zm00001d001994	1	mu1038036	UFMu-03713	1	NA	NA	NA	NA	FALSE	Zm00004b006054	One-to-One	mRNA	moderate	missense_variant
Zm00001d001999	1	mu1035129	UFMu-03103	1	NA	NA	NA	NA	FALSE	Zm00004b006058	One-to-One	mRNA	moderate	missense_variant
Zm00001d002001	1	mu1047459	UFMu-06503	1	NA	NA	NA	NA	FALSE	Zm00004b006061	One-to-One	mRNA	no_change	NA
Zm00001d002003	2	mu1030540|mu1044833	UFMu-03029|UFMu-05893	2	NA	NA	NA	NA	FALSE	Zm00004b006062	One-to-One	mRNA	no_change	NA
Zm00001d002004	1	mu1059316	UFMu-07806	1	NA	NA	NA	NA	FALSE	Zm00004b006063	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d002005	1	mu1038042	UFMu-04038	1	SBP	30	1	1/30	TRUE	Zm00004b006064	One-to-One	mRNA	moderate	disruptive_inframe_deletion
Zm00001d002006	1	mu1047463	UFMu-06272	1	NA	NA	NA	NA	FALSE	Zm00004b006066	One-to-One	mRNA	high	splice_donor_variant
Zm00001d002012	2	mu1032565|mu1070211	UFMu-02891|UFMu-02693,UFMu-12877	2	NA	NA	NA	NA	FALSE	Zm00004b006071	One-to-One	mRNA	modifier	3_prime_UTR_variant
Zm00001d002022	2	mu1079409|mu1090313	UFMu-09266|UFMu-12994	2	NA	NA	NA	NA	FALSE	Zm00004b006081	One-to-One	mRNA	moderate	missense_variant
Zm00001d002024	3	mu1035159|mu1035782|mu1055978	UFMu-03243|UFMu-03249|UFMu-07661	>=3	NA	NA	NA	NA	FALSE	Zm00004b006083	One-to-One	mRNA	moderate	missense_variant
Zm00001d002027	3	mu1051158|mu1051403|mu1055979	UFMu-06515|UFMu-06515|UFMu-07236	>=3	NA	NA	NA	NA	FALSE	Zm00004b006086	One-to-One	mRNA	low	5_prime_UTR_premature_start_codon_gain_variant
Zm00001d002028	3	mu1002589|mu1002589|mu1038050	UFMu-00345,UFMu-01304,UFMu-04988,UFMu-05725|UFMu-08041|UFMu-02856	>=3	NA	NA	NA	NA	FALSE	Zm00004b006087	One-to-One	mRNA	high	frameshift_variant
Zm00001d002029	1	mu1066708	UFMu-08573	1	NA	NA	NA	NA	FALSE	Zm00004b006088	One-to-One	mRNA	moderate	missense_variant
Zm00001d002033	1	mu1014197	UFMu-02320	1	NA	NA	NA	NA	FALSE	Zm00004b006089	One-to-One	mRNA	moderate	missense_variant
Zm00001d002034	3	mu1086007|mu1086008|mu1090321	UFMu-10749|UFMu-10749|UFMu-11283	>=3	NA	NA	NA	NA	FALSE	Zm00004b006090	One-to-One	mRNA	moderate	missense_variant
Zm00001d002036	3	mu1013019|mu1055985|mu1080911	UFMu-01448|UFMu-07277|UFMu-09476	>=3	NA	NA	NA	NA	FALSE	Zm00004b006092	One-to-One	mRNA	high	frameshift_variant
Zm00001d002039	1	mu1047474	UFMu-06248	1	NA	NA	NA	NA	FALSE	Zm00004b006095,Zm00004b006097	Many-to-One	mRNA	moderate	missense_variant
Zm00001d002046	2	mu1052504|mu1069292	UFMu-06545|UFMu-08301	2	NA	NA	NA	NA	FALSE	Zm00004b006099	One-to-One	mRNA	moderate	missense_variant
Zm00001d002052	1	mu1021316	UFMu-01716	1	NA	NA	NA	NA	FALSE	Zm00004b006101	One-to-One	mRNA	moderate	missense_variant
Zm00001d002053	5	mu1050540|mu1051157|mu1070216|mu1086011|mu1086012	UFMu-06501|UFMu-06469|UFMu-02693|UFMu-10992|UFMu-11121	>=3	NA	NA	NA	NA	FALSE	Zm00004b006102	One-to-One	mRNA	no_change	NA
Zm00001d002058	3	mu1044850|mu1059327|mu1090324	UFMu-05706|UFMu-08145|UFMu-13996	>=3	NA	NA	NA	NA	FALSE	Zm00004b006108	One-to-One	mRNA	non-syntenic	disruptive_inframe_insertion
Zm00001d002063	2	mu1020016|mu1076773	UFMu-01088|UFMu-09285	2	NA	NA	NA	NA	FALSE	Zm00004b006110	One-to-One	mRNA	low	synonymous_variant
Zm00001d002064	2	mu1004904|mu1019790	UFMu-00117,UFMu-05081|UFMu-00703	2	NA	NA	NA	NA	FALSE	Zm00004b006111	One-to-One	mRNA	moderate	missense_variant
Zm00001d002065	1	mu1007653	UFMu-00444	1	NA	NA	NA	NA	FALSE	Zm00004b006112	One-to-One	mRNA	high	splice_acceptor_variant
Zm00001d002066	1	mu1090332	UFMu-12993	1	NA	NA	NA	NA	FALSE	Zm00004b006113	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d002067	2	mu1051156|mu1070982	UFMu-06213|UFMu-03034	2	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	NA
Zm00001d002068	5	mu1020062|mu1040298|mu1053463|mu1071746|mu1090335	UFMu-01129|UFMu-02522|UFMu-06682|UFMu-01861|UFMu-14000	>=3	NA	NA	NA	NA	FALSE	Zm00004b006114	One-to-One	mRNA	moderate	disruptive_inframe_insertion
Zm00001d002080	7	mu1014210|mu1019994|mu1025415|mu1040928|mu1043494|mu1043494|mu1055997	UFMu-01250|UFMu-00748|UFMu-10403|UFMu-04568|UFMu-04864,UFMu-08217|UFMu-11171|UFMu-07148	>=3	NA	NA	NA	NA	FALSE	Zm00004b006124	One-to-One	mRNA	low	synonymous_variant
Zm00001d002082	1	mu1038065	UFMu-03653	1	NA	NA	NA	NA	FALSE	Zm00004b006126	One-to-One	mRNA	low	synonymous_variant
Zm00001d002083	1	mu1059335	UFMu-08183	1	NA	NA	NA	NA	FALSE	Zm00004b006127	One-to-One	mRNA	moderate	conservative_inframe_deletion
Zm00001d002084	1	mu1024377	UFMu-05585	1	NA	NA	NA	NA	FALSE	Zm00004b006129	One-to-One	mRNA	low	synonymous_variant
Zm00001d002085	2	mu1052513|mu1084702	UFMu-06559|UFMu-10440	2	NA	NA	NA	NA	FALSE	Zm00004b006130	One-to-One	mRNA	moderate	missense_variant
Zm00001d002086	5	mu1014212|mu1038067|mu1043491|mu1051152|mu1052514	UFMu-01263|UFMu-03924|UFMu-04978|UFMu-06522|UFMu-06719	>=3	NA	NA	NA	NA	FALSE	Zm00004b006131	One-to-One	mRNA	moderate	missense_variant
Zm00001d002087	3	mu1056001|mu1066717|mu1083229	UFMu-07277|UFMu-08618|UFMu-10414	>=3	NA	NA	NA	NA	FALSE	Zm00004b006132	One-to-One	mRNA	moderate	missense_variant
Zm00001d002089	3	mu1040929|mu1087760|mu1094582	UFMu-04729,UFMu-10973|UFMu-11079|UFMu-11973	>=3	NA	NA	NA	NA	FALSE	Zm00004b006134	One-to-One	mRNA	high	frameshift_variant
Zm00001d002090	2	mu1043490|mu1059338	UFMu-04970|UFMu-08183	2	NA	NA	NA	NA	FALSE	Zm00004b006135	One-to-One	mRNA	moderate	missense_variant
Zm00001d002091	1	mu1014215	UFMu-01245,UFMu-02558	1	NA	NA	NA	NA	FALSE	Zm00004b006136	One-to-One	mRNA	moderate	missense_variant
Zm00001d002098	3	mu1014220|mu1056003|mu1083231	UFMu-01575,UFMu-02085|UFMu-07644|UFMu-10401	>=3	NA	NA	NA	NA	FALSE	Zm00004b006146	One-to-One	mRNA	moderate	conservative_inframe_insertion
Zm00001d002100	1	mu1094583	UFMu-12961	1	NA	NA	NA	NA	FALSE	Zm00004b006148	One-to-One	mRNA	high	frameshift_variant
Zm00001d002103	4	mu1019180|mu1069294|mu1076789|mu1090357	UFMu-00898,UFMu-04633|UFMu-08586|UFMu-08955,UFMu-10951|UFMu-11291	>=3	NA	NA	NA	NA	FALSE	Zm00004b006149	One-to-One	mRNA	high	frameshift_variant
Zm00001d002104	5	mu1019161|mu1034733|mu1035385|mu1035385|mu1043488	UFMu-01181|UFMu-03450|UFMu-03287|UFMu-11443|UFMu-04805	>=3	NA	NA	NA	NA	FALSE	Zm00004b006150	One-to-One	mRNA	moderate	missense_variant
Zm00001d002105	3	mu1056004|mu1086026|mu1094584	UFMu-07184|UFMu-11084|UFMu-12310	>=3	NA	NA	NA	NA	FALSE	Zm00004b006151	One-to-One	mRNA	moderate	missense_variant
Zm00001d002115	5	mu1038072|mu1047495|mu1052523|mu1052524|mu1066723	UFMu-03427,UFMu-05260,UFMu-06138|UFMu-06251|UFMu-06554|UFMu-06689|UFMu-08765	>=3	NA	NA	NA	NA	FALSE	Zm00004b006152	One-to-One	mRNA	low	synonymous_variant
Zm00001d002119	1	mu1090362	UFMu-13945	1	NA	NA	NA	NA	FALSE	Zm00004b006153	One-to-One	mRNA	high	splice_donor_variant
Zm00001d002127	1	mu1082029	UFMu-09898	1	NA	NA	NA	NA	FALSE	Zm00004b006162	One-to-One	mRNA	non-syntenic	missense_variant
Zm00001d002129	1	mu1080922	UFMu-09533	1	NA	NA	NA	NA	FALSE	Zm00004b006164	One-to-One	mRNA	moderate	missense_variant
Zm00001d002137	1	mu1090368	UFMu-11280	1	NA	NA	NA	NA	FALSE	Zm00004b006174	One-to-One	mRNA	moderate	conservative_inframe_deletion
Zm00001d002141	1	mu1090369	UFMu-12974,UFMu-13463	1	NA	NA	NA	NA	FALSE	Zm00004b006177,Zm00004b006178	Many-to-One	mRNA	moderate	missense_variant
Zm00001d002143	2	mu1008454|mu1018254	UFMu-00469|UFMu-00948	2	bZIP	128	1	1/128	TRUE	Zm00004b006179	One-to-One	mRNA	non-syntenic	start_lost
Zm00001d002144	1	mu1066731	UFMu-08298	1	NA	NA	NA	NA	FALSE	Zm00004b006180	One-to-One	mRNA	high	frameshift_variant
Zm00001d002145	1	mu1079415	UFMu-09400	1	NA	NA	NA	NA	FALSE	Zm00004b006181	One-to-One	mRNA	high	start_lost
Zm00001d002147	1	mu1076813	UFMu-08888	1	NA	NA	NA	NA	FALSE	Zm00004b006183	One-to-One	mRNA	moderate	missense_variant
Zm00001d002148	1	mu1052532	UFMu-06844	1	NA	NA	NA	NA	FALSE	Zm00004b006184	One-to-One	mRNA	moderate	missense_variant
Zm00001d002149	3	mu1021786|mu1040936|mu1072714	UFMu-01397|UFMu-04600|UFMu-03102	>=3	NA	NA	NA	NA	FALSE	Zm00004b006185,Zm00004b006187	Many-to-One	mRNA	high	splice_acceptor_variant
Zm00001d002153	3	mu1042585|mu1042585|mu1094589	UFMu-05337,UFMu-10670|UFMu-07589|UFMu-11258	>=3	NA	NA	NA	NA	FALSE	Zm00004b006189	One-to-One	mRNA	high	frameshift_variant
Zm00001d002156	2	mu1007120|mu1014234	UFMu-00290|UFMu-02046	2	NA	NA	NA	NA	FALSE	Zm00004b006192	One-to-One	mRNA	moderate	missense_variant
Zm00001d002157	3	mu1023390|mu1047503|mu1052538	UFMu-02354|UFMu-06428|UFMu-06781	>=3	NA	NA	NA	NA	FALSE	Zm00004b006193	One-to-One	mRNA	moderate	missense_variant
Zm00001d002163	3	mu1014233|mu1014233|mu1056013	UFMu-01039,UFMu-01506,UFMu-06192|UFMu-10677|UFMu-07178	>=3	NA	NA	NA	NA	FALSE	Zm00004b006199	One-to-One	mRNA	moderate	missense_variant
Zm00001d002168	1	mu1090374	UFMu-11151	1	NA	NA	NA	NA	FALSE	Zm00004b006203	One-to-Many	mRNA	moderate	conservative_inframe_insertion
Zm00001d002169	2	mu1014236|mu1079418	UFMu-01919,UFMu-03529,UFMu-06500,UFMu-07517|UFMu-09211	2	NA	NA	NA	NA	FALSE	Zm00004b006200,Zm00004b006204	Many-to-Many	mRNA	moderate	missense_variant
Zm00001d002172	1	mu1014238	UFMu-01867	1	NA	NA	NA	NA	FALSE	Zm00004b006206	One-to-One	mRNA	moderate	missense_variant
Zm00001d002173	1	mu1014259	UFMu-02229	1	NA	NA	NA	NA	FALSE	Zm00004b006208	One-to-One	mRNA	moderate	missense_variant
Zm00001d002178	1	mu1080925	UFMu-09492	1	NA	NA	NA	NA	FALSE	Zm00004b006212,Zm00004b006213	Many-to-One	mRNA	moderate	missense_variant
Zm00001d002181	1	mu1035474	UFMu-03462	1	NA	NA	NA	NA	FALSE	NA	NA	mRNA	non-syntenic	missense_variant
Zm00001d002184	1	mu1076818	UFMu-09047	1	NA	NA	NA	NA	FALSE	Zm00004b006218	One-to-One	mRNA	high	frameshift_variant
Zm00001d002185	1	mu1056020	UFMu-07290	1	NA	NA	NA	NA	FALSE	Zm00004b006219	One-to-One	mRNA	moderate	missense_variant
Zm00001d002186	4	mu1018421|mu1021764|mu1021764|mu1052547	UFMu-00622|UFMu-01295|UFMu-05296|UFMu-06852	>=3	NA	NA	NA	NA	FALSE	Zm00004b006220	One-to-One	mRNA	high	splice_donor_variant
Zm00001d002190	1	mu1056021	UFMu-07644	1	NA	NA	NA	NA	FALSE	Zm00004b006221	One-to-One	mRNA	moderate	missense_variant
Zm00001d002192	1	mu1066747	UFMu-08301	1	NA	NA	NA	NA	FALSE	Zm00004b006223	One-to-Many	mRNA	moderate	disruptive_inframe_deletion
Zm00001d002193	1	mu1066747	UFMu-08301	1	NA	NA	NA	NA	FALSE	Zm00004b006223	One-to-Many	mRNA	moderate	missense_variant
Zm00001d002212	2	mu1014263|mu1014263	UFMu-01204|UFMu-04426	2	NA	NA	NA	NA	FALSE	Zm00004b006236	One-to-Many	mRNA	non-syntenic	NA
Zm00001d002235	2	mu1019007|mu1043481	UFMu-00972,UFMu-03336,UFMu-03746,UFMu-04919,UFMu-09513,UFMu-10979|UFMu-04919,UFMu-06167	2	NA	NA	NA	NA	FALSE	Zm00004b006248	One-to-One	mRNA	no_change	NA
Zm00001d002238	4	mu1018934|mu1049500|mu1085163|mu1086039	UFMu-00948|UFMu-06518|UFMu-10380|UFMu-10992	>=3	NA	NA	NA	NA	FALSE	Zm00004b006249	One-to-One	mRNA	no_change	NA
Zm00001d002240	1	mu1017204	UFMu-01157	1	NA	NA	NA	NA	FALSE	Zm00004b006251	One-to-One	mRNA	no_change	NA
Zm00001d002241	1	mu1014265	UFMu-01936	1	NA	NA	NA	NA	FALSE	Zm00004b006252	One-to-One	mRNA	modifier	intron_variant
Zm00001d002243	3	mu1047525|mu1061743|mu1079423	UFMu-06171|UFMu-09911,UFMu-12374,UFMu-13167,UFMu-13526|UFMu-09397,UFMu-11256	>=3	NA	NA	NA	NA	FALSE	Zm00004b006254	One-to-One	mRNA	no_change	NA
Zm00001d002244	3	mu1018584|mu1035631|mu1080929	UFMu-01147|UFMu-03474|UFMu-09464	>=3	NA	NA	NA	NA	FALSE	Zm00004b006255	One-to-One	mRNA	no_change	NA
Zm00001d002246	1	mu1044870	UFMu-05422	1	NA	NA	NA	NA	FALSE	Zm00004b006257	One-to-One	mRNA	no_change	NA
Zm00001d002250	1	mu1043478	UFMu-05282	1	NA	NA	NA	NA	FALSE	Zm00004b006259,Zm00004b006260	Many-to-One	mRNA	no_change	NA
Zm00001d002252	5	mu1030111|mu1056024|mu1061744|mu1090387|mu1090388	UFMu-02475|UFMu-07190|UFMu-08336,UFMu-09182,UFMu-09477,UFMu-10508,UFMu-11262|UFMu-11247|UFMu-11355	>=3	NA	NA	NA	NA	FALSE	Zm00004b006261	One-to-One	mRNA	moderate	missense_variant
Zm00001d002256	4	mu1038087|mu1038088|mu1056025|mu1079425	UFMu-02899|UFMu-03737,UFMu-05120,UFMu-07171|UFMu-07171|UFMu-09260,UFMu-10953	>=3	NA	NA	NA	NA	FALSE	Zm00004b006267	One-to-One	mRNA	modifier	5_prime_UTR_variant
Zm00001d002257	4	mu1018574|mu1047526|mu1056026|mu1083240	UFMu-01058|UFMu-06336|UFMu-07327|UFMu-10378,UFMu-10787	>=3	NA	NA	NA	NA	FALSE	Zm00004b006268	One-to-One	mRNA	low	synonymous_variant
Zm00001d002258	7	mu1000153|mu1019844|mu1033446|mu1059353|mu1076826|mu1090390|mu1090391	UFMu-00286,UFMu-03038,UFMu-05235,UFMu-05831,UFMu-11128|UFMu-00899,UFMu-03599,UFMu-04196,UFMu-04816,UFMu-09417|UFMu-03488|UFMu-07965|UFMu-09028,UFMu-10960|UFMu-11366|UFMu-11151	>=3	NA	NA	NA	NA	FALSE	Zm00004b006269	One-to-One	mRNA	no_change	NA
Zm00001d002259	2	mu1023149|mu1084712	UFMu-02406,UFMu-05251|UFMu-10038	2	NA	NA	NA	NA	FALSE	Zm00004b006270	One-to-Many	mRNA	no_change	NA
Zm00001d002261	1	mu1014270	UFMu-01791	1	NA	NA	NA	NA	FALSE	Zm00004b006270,Zm00004b006271	Many-to-Many	mRNA	no_change	NA
Zm00001d002262	5	mu1015924|mu1015924|mu1017429|mu1022855|mu1042511	UFMu-02304|UFMu-13951|UFMu-00767|UFMu-02413|UFMu-05290	>=3	NA	NA	NA	NA	FALSE	Zm00004b006272	One-to-One	mRNA	no_change	NA
Zm00001d002266	4	mu1033370|mu1047528|mu1066759|mu1076828	UFMu-03256|UFMu-06500|UFMu-08567|UFMu-09145	>=3	NA	NA	NA	NA	FALSE	Zm00004b006275	One-to-One	mRNA	no_change	NA
Zm00001d002267	10	mu1007369|mu1007369|mu1019213|mu1052557|mu1056027|mu1059355|mu1066760|mu1070991|mu1083242|mu1090393	UFMu-00469|UFMu-05983,UFMu-07784|UFMu-01177|UFMu-06547|UFMu-07189|UFMu-07784|UFMu-08455|UFMu-03017|UFMu-10390|UFMu-12991	>=3	NA	NA	NA	NA	FALSE	Zm00004b006276	One-to-One	mRNA	no_change	NA
Zm00001d002272	1	mu1076829	UFMu-09139	1	NA	NA	NA	NA	FALSE	Zm00004b006280	One-to-One	mRNA	high	stop_gained
Zm00001d002275	4	mu1044872|mu1079426|mu1084713|mu1094598	UFMu-05408|UFMu-09223|UFMu-10408|UFMu-11283	>=3	NA	NA	NA	NA	FALSE	Zm00004b006282	One-to-One	mRNA	moderate	missense_variant
Zm00001d002277	1	mu1038092	UFMu-04168,UFMu-13047	1	NA	NA	NA	NA	FALSE	Zm00004b006284	One-to-One	mRNA	moderate	missense_variant
Zm00001d002282	1	mu1056030	UFMu-07676	1	NA	NA	NA	NA	FALSE	Zm00004b006288	One-to-One	mRNA	no_change	NA
